locationid,Applicant,FacilityType,cnn,LocationDescription,Address,blocklot,block,lot,permit,Status,FoodItems,X,Y,Latitude,Longitude,Schedule,dayshours,NOISent,Approved,Received,PriorPermit,ExpirationDate,Location
437211,Natan's Catering,Truck,9212000,MISSOURI ST: 20TH ST to SIERRA ST (500 - 630),555 MISSOURI ST,4101031,4101,31,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6013632.016,2104493.013,37.75930377,-122.3959022,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Mo-Fr:9AM-10AM/12PM-1PM,,04/12/13 0:00,12/04/13,1,03/15/2014 12:00:00 AM,"(37.7593037663834, -122.395902231236)"
751253,Pipo's Grill,Truck,5688000,FOLSOM ST: 14TH ST to 15TH ST (1800 - 1899),1800 FOLSOM ST,3549083,3549,83,16MFF-0010,REQUESTED,Tacos: Burritos: Hot Dogs: and Hamburgers,6007856.719,2107724.046,37.76785244,-122.4161049,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0010&ExportPDF=1&Filename=16MFF-0010_schedule.pdf,,,,04/02/16,0,,"(37.7678524427181, -122.416104892532)"
526124,Bach Catering,Truck,7205101,INDUSTRIAL ST: PALOU AVE to QUESADA AVE (51 - 99) -- SOUTH --,75 INDUSTRIAL ST,5332023,5332,23,14MFF-0034,EXPIRED,Cold Truck: Cheeseburgers: Burgers: Chicken Bake: Chili Dogs: Hot Dogs: Corn Dogs: Cup of Noodles: Egg Muffins: Tamales: Hot Sandwiches Quesadillas: Gatorade: Juice: Soda: Mikl: Coffee: Hot Cocoa: Hot Tea: Flan: Fruits: Fruit Salad: Yogurt: Candy: Chips:  Donuts: Cookies: Granola: Muffins & Various Drinks & Pre-Packaged Snacks.,6012049.291,2097209.482,37.73921659,-122.4008644,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0034&ExportPDF=1&Filename=14MFF-0034_schedule.pdf,Mo-Fr:9AM-10AM,,03/13/2014 12:00:00 AM,13/03/14,1,03/15/2015 12:00:00 AM,"(37.7392165862623, -122.400864373304)"
509478,Sun Rise Catering,Truck,11186000,RUSS ST: HOWARD ST to FOLSOM ST (100 - 199),150 RUSS ST,3731082,3731,82,14MFF-0001,EXPIRED,Cold Truck: sandwiches: drinks: snacks: candy: hot coffee,6010358.298,2111396.153,37.77807553,-122.4077111,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0001&ExportPDF=1&Filename=14MFF-0001_schedule.pdf,Mo-Fr:9AM-10AM,,09/10/14 0:00,08/01/14,1,03/15/2015 12:00:00 AM,"(37.7780755347517, -122.407711134267)"
509492,Sun Rise Catering,Truck,5676000,FOLSOM ST: RAUSCH ST to RODGERS ST (1148 - 1175),1150 FOLSOM ST,3730178,3730,178,14MFF-0001,EXPIRED,Cold Truck: sandwiches: drinks: snacks: candy: hot coffee,6009885.08,2110631.841,37.77595041,-122.4092942,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0001&ExportPDF=1&Filename=14MFF-0001_schedule.pdf,Mo/Tu/We/Th/Fr:9AM-10AM,,09/10/14 0:00,08/01/14,1,03/15/2015 12:00:00 AM,"(37.775950411261, -122.409294222069)"
623661,Julie's Hot Dogs,Truck,9124000,MISSION ST: 22ND ST to 23RD ST (2600 - 2699),2601 MISSION ST,3637069,3637,69,15MFF-0007,REQUESTED,Soda: chips: energy drinks: hot dogs: bacon-wrapped hot dogs: fruit: corn,6007206.1,2103081.156,37.75506754,-122.4180261,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0007&ExportPDF=1&Filename=15MFF-0007_schedule.pdf,Th/Fr/Sa:12PM-3AM,,,23/02/15,0,,"(37.7550675419403, -122.41802613269)"
531040,La Falafel,Truck,13057002,VALENCIA ST: ROSA PARKS LN to 15TH ST (338 - 399),363 VALENCIA ST,3547033,3547,33,14MFF-0088,EXPIRED,Falafel Sandwiches: Fries: Soda: Iced Tea & Various Drinks.,6006210.46,2107493.408,37.76712646,-122.4217827,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0088&ExportPDF=1&Filename=14MFF-0088_schedule.pdf,Tu/We/Th:11AM-4PM;Fr/Sa:4PM-11PM,,03/31/2014 12:00:00 AM,28/03/14,0,03/15/2015 12:00:00 AM,"(37.767126464778, -122.421782736139)"
626189,Taza Halal Cart,Push Cart,8742101,MARKET ST: 01ST ST \ BUSH ST to 02ND ST (501 - 599) -- SOUTH --,555 MARKET ST,3708057,3708,57,15MFF-0024,INACTIVE,Chicken gyro: lamb gyro: chicken gyro plate:lamb gyro plate: combination gyro plate,6012693.864,2115651.384,37.78988988,-122.3999304,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0024&ExportPDF=1&Filename=15MFF-0024_schedule.pdf,Mo-We:10AM-9PM,,,02/03/15,0,,"(37.7898898782098, -122.399930411351)"
646997,Tacos El Primo,Truck,13660000,WILLIAMS AVE: APOLLO ST to PHELPS ST \ VESTA ST (300 - 399),345 WILLIAMS AVE,5423A009,5423A,9,15MFF-0122,REQUESTED,Mexican food: tacos: burritos: tortas: various meat and chicken and fish plate: chile relleno plate: fish plate: bread: flan: rice pudding: bread: fruit juice: vegetable juice: coffee: tea,6012447.306,2093773.934,37.72980548,-122.3992471,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0122&ExportPDF=1&Filename=15MFF-0122_schedule.pdf,Su:8AM-10PM;Mo/Tu/We/Th/Fr:4PM-10PM,,,21/04/15,1,03/15/2016 12:00:00 AM,"(37.7298054805741, -122.399247104724)"
526148,Cheese Gone Wild,Truck,11544000,SANSOME ST: PINE ST to CALIFORNIA ST (200 - 299),233 SANSOME ST,260002,260,2,14MFF-0035,EXPIRED,Grilled Cheese Sandwiches,6012313.995,2116649.543,37.7926094,-122.4013149,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0035&ExportPDF=1&Filename=14MFF-0035_schedule.pdf,Th:10AM-2PM,,03/13/2014 12:00:00 AM,13/03/14,0,03/15/2015 12:00:00 AM,"(37.792609401119, -122.401314905451)"
526123,Bach Catering,Truck,11372000,SAN BRUNO AVE: HALE ST to SILVER AVE (2362 - 2399),2380 SAN BRUNO AVE,5881002,5881,2,14MFF-0034,EXPIRED,Cold Truck: Cheeseburgers: Burgers: Chicken Bake: Chili Dogs: Hot Dogs: Corn Dogs: Cup of Noodles: Egg Muffins: Tamales: Hot Sandwiches Quesadillas: Gatorade: Juice: Soda: Mikl: Coffee: Hot Cocoa: Hot Tea: Flan: Fruits: Fruit Salad: Yogurt: Candy: Chips:  Donuts: Cookies: Granola: Muffins & Various Drinks & Pre-Packaged Snacks.,6010557.213,2094814.259,37.73255647,-122.4058547,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0034&ExportPDF=1&Filename=14MFF-0034_schedule.pdf,Mo-Fr:9AM-10AM,,03/13/2014 12:00:00 AM,13/03/14,1,03/15/2015 12:00:00 AM,"(37.7325564744198, -122.40585465611)"
